_id,index,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken_(min)
6460e83dd043ebe8d64c7030,0,36.0,4.2,Fog,Jam,2,motorcycle,3.0,No,Metropolitian,46
6460e83dd043ebe8d64c7031,1,21.0,4.7,Stormy,High,1,motorcycle,1.0,No,Metropolitian,23
6460e83dd043ebe8d64c7032,2,23.0,4.7,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,21
6460e83dd043ebe8d64c7033,3,34.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,20
6460e83dd043ebe8d64c7034,4,24.0,4.7,Fog,Jam,1,scooter,1.0,No,Metropolitian,41
6460e83dd043ebe8d64c7035,5,29.0,4.5,Sandstorms,Jam,2,electric_scooter,1.0,No,Metropolitian,20
6460e83dd043ebe8d64c7036,6,35.0,4.0,Windy,High,1,scooter,1.0,No,Metropolitian,33
6460e83dd043ebe8d64c7037,7,33.0,4.2,Sandstorms,Jam,2,motorcycle,1.0,No,Metropolitian,40
6460e83dd043ebe8d64c7038,8,34.0,4.9,Cloudy,Jam,0,motorcycle,,No,Metropolitian,41
6460e83dd043ebe8d64c7039,9,21.0,4.7,Windy,Jam,0,motorcycle,1.0,No,Urban,15
6460e83dd043ebe8d64c703a,10,25.0,4.1,Sandstorms,Jam,0,motorcycle,2.0,No,Metropolitian,36
6460e83dd043ebe8d64c703b,11,31.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,26
6460e83dd043ebe8d64c703c,12,37.0,5.0,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,20
6460e83dd043ebe8d64c703d,13,33.0,4.3,Windy,Jam,2,scooter,1.0,No,Metropolitian,39
6460e83dd043ebe8d64c703e,14,25.0,4.0,Cloudy,High,1,motorcycle,1.0,No,Metropolitian,34
6460e83dd043ebe8d64c703f,15,29.0,4.5,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,15
6460e83dd043ebe8d64c7040,16,27.0,5.0,Stormy,Jam,0,motorcycle,0.0,No,Urban,18
6460e83dd043ebe8d64c7041,17,35.0,4.3,Cloudy,Low,1,scooter,0.0,No,Metropolitian,38
6460e83dd043ebe8d64c7042,18,32.0,4.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,47
6460e83dd043ebe8d64c7043,19,23.0,4.8,Windy,Low,2,electric_scooter,0.0,No,Urban,12
6460e83dd043ebe8d64c7044,20,31.0,4.8,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,26
6460e83dd043ebe8d64c7045,21,36.0,4.1,Stormy,Low,0,motorcycle,1.0,No,Urban,22
6460e83dd043ebe8d64c7046,22,26.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Urban,21
6460e83dd043ebe8d64c7047,23,38.0,4.9,Cloudy,High,1,scooter,1.0,No,Urban,25
6460e83dd043ebe8d64c7048,24,32.0,3.5,Stormy,Jam,1,scooter,0.0,No,Urban,35
6460e83dd043ebe8d64c7049,25,32.0,4.6,Cloudy,Low,2,scooter,1.0,No,Metropolitian,30
6460e83dd043ebe8d64c704a,26,33.0,4.9,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,22
6460e83dd043ebe8d64c704b,27,20.0,4.7,Windy,High,1,scooter,0.0,No,Urban,10
