_id,index,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken_(min)
6460e83dd043ebe8d64ced50,32032,35.0,4.6,Windy,Medium,1,scooter,1.0,No,Metropolitian,26
6460e83dd043ebe8d64c77d1,1953,38.0,4.7,Sandstorms,High,2,motorcycle,1.0,No,Metropolitian,29
6460e83dd043ebe8d64c8691,5729,36.0,4.8,Stormy,Low,2,electric_scooter,0.0,No,Urban,17
6460e83dd043ebe8d64d12c8,41624,27.0,5.0,Stormy,Medium,2,motorcycle,0.0,No,Metropolitian,24
6460e83dd043ebe8d64d0f22,40690,38.0,4.7,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,46
6460e83dd043ebe8d64c8cf2,7362,29.0,4.4,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,16
6460e83dd043ebe8d64cbc4c,19484,36.0,4.7,Windy,Low,1,motorcycle,1.0,No,Metropolitian,19
6460e83dd043ebe8d64ca826,14326,28.0,4.6,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,18
6460e83dd043ebe8d64c76d2,1698,23.0,4.2,Fog,Medium,2,scooter,1.0,No,Metropolitian,36
6460e83dd043ebe8d64d1b27,43767,38.0,4.9,Windy,Jam,2,scooter,1.0,No,Metropolitian,29
6460e83dd043ebe8d64cc356,21286,,,Stormy,Jam,1,scooter,1.0,No,Metropolitian,31
6460e83dd043ebe8d64d1b13,43747,28.0,4.1,Fog,Jam,2,scooter,2.0,No,Metropolitian,40
6460e83dd043ebe8d64ce455,29733,38.0,4.8,Sunny,Medium,2,scooter,0.0,No,Urban,28
6460e83dd043ebe8d64c7365,821,36.0,4.2,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,33
6460e83dd043ebe8d64d0f9a,40810,34.0,4.7,Sandstorms,Medium,0,motorcycle,1.0,No,Metropolitian,28
6460e83dd043ebe8d64cdfa0,28528,20.0,5.0,Windy,Low,2,electric_scooter,0.0,No,Metropolitian,16
6460e83dd043ebe8d64ce42c,29692,33.0,4.7,Sunny,Jam,1,scooter,0.0,No,Metropolitian,26
6460e83dd043ebe8d64cdee3,28339,34.0,5.0,Cloudy,Low,2,motorcycle,1.0,No,Metropolitian,18
6460e83dd043ebe8d64d21b8,45448,28.0,4.5,Sunny,Medium,1,scooter,0.0,No,Metropolitian,15
6460e83dd043ebe8d64cb0ab,16507,20.0,4.9,Fog,Low,0,motorcycle,1.0,No,Metropolitian,20
6460e83dd043ebe8d64c7088,88,36.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,29
6460e83dd043ebe8d64cc21c,20972,30.0,4.8,Windy,Medium,1,scooter,1.0,No,Metropolitian,25
6460e83dd043ebe8d64cb7ab,18299,22.0,4.1,Sandstorms,Medium,0,motorcycle,0.0,No,Urban,38
6460e83dd043ebe8d64cb054,16420,32.0,4.9,Fog,Medium,2,scooter,1.0,No,Urban,17
6460e83dd043ebe8d64d0c72,40002,,,Stormy,Jam,2,scooter,1.0,No,Metropolitian,35
6460e83dd043ebe8d64d0f97,40807,25.0,4.8,Cloudy,Low,2,motorcycle,1.0,No,Metropolitian,19
6460e83dd043ebe8d64cf8e8,35000,31.0,4.8,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,30
6460e83dd043ebe8d64ce59b,30059,20.0,4.9,Stormy,Jam,1,scooter,1.0,No,Metropolitian,25
6460e83dd043ebe8d64d1b93,43875,23.0,4.6,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,33
6460e83dd043ebe8d64d04fb,38091,37.0,4.7,Stormy,Low,2,scooter,1.0,No,Metropolitian,23
6460e83dd043ebe8d64cda00,27088,35.0,4.9,Stormy,Low,2,scooter,0.0,No,Urban,23
6460e83dd043ebe8d64ca91c,14572,39.0,4.8,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,31
6460e83dd043ebe8d64cd0b9,24713,20.0,4.8,Cloudy,High,1,scooter,1.0,No,Metropolitian,22
6460e83dd043ebe8d64cb52e,17662,,,,,0,motorcycle,1.0,No,Metropolitian,39
6460e83dd043ebe8d64ceef8,32456,39.0,4.6,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,27
6460e83dd043ebe8d64ca5e4,13748,35.0,4.9,Sunny,Low,1,scooter,,No,Urban,24
6460e83dd043ebe8d64d21cc,45468,28.0,4.7,Sunny,Jam,0,motorcycle,1.0,No,Metropolitian,23
6460e83dd043ebe8d64cf0f1,32961,36.0,4.5,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,40
6460e83dd043ebe8d64cf476,33862,20.0,,Cloudy,Jam,2,scooter,1.0,No,Metropolitian,28
6460e83dd043ebe8d64cd8a6,26742,32.0,4.3,Stormy,Medium,1,motorcycle,0.0,No,Metropolitian,32
6460e83dd043ebe8d64cfdf4,36292,,,Cloudy,Jam,1,motorcycle,0.0,No,Metropolitian,32
6460e83dd043ebe8d64cdd78,27976,39.0,4.5,Sandstorms,Low,2,motorcycle,0.0,No,Metropolitian,22
6460e83dd043ebe8d64ce628,30200,28.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Urban,10
6460e83dd043ebe8d64ccb2c,23292,36.0,4.5,Fog,Low,1,scooter,1.0,No,Metropolitian,19
6460e83dd043ebe8d64c8759,5929,21.0,4.9,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,35
6460e83dd043ebe8d64d10d9,41129,23.0,4.6,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,30
6460e83dd043ebe8d64d0197,37223,25.0,4.7,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,37
6460e83dd043ebe8d64d09ab,39291,27.0,4.7,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,23
6460e83dd043ebe8d64cd4f7,25799,22.0,4.7,Windy,High,0,motorcycle,0.0,No,Metropolitian,29
6460e83dd043ebe8d64c92b8,8840,34.0,4.6,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,25
6460e83dd043ebe8d64cd9a4,26996,24.0,4.8,Stormy,Low,2,scooter,0.0,No,Urban,11
6460e83dd043ebe8d64cb312,17122,32.0,5.0,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,39
6460e83dd043ebe8d64ce513,29923,30.0,4.4,Stormy,Jam,1,motorcycle,2.0,No,Urban,39
6460e83dd043ebe8d64d13a7,41847,26.0,4.6,Sunny,Medium,2,scooter,1.0,No,Metropolitian,18
6460e83dd043ebe8d64cddb3,28035,30.0,4.8,Cloudy,Medium,2,motorcycle,1.0,No,Metropolitian,33
6460e83dd043ebe8d64cc826,22518,31.0,4.8,Sunny,Medium,0,motorcycle,1.0,No,Metropolitian,24
6460e83dd043ebe8d64ced55,32037,31.0,4.8,Fog,Low,1,scooter,1.0,No,Metropolitian,18
6460e83dd043ebe8d64cfe7a,36426,39.0,4.8,Cloudy,High,2,scooter,1.0,No,Metropolitian,39
6460e83dd043ebe8d64cfa4a,35354,38.0,4.7,Sunny,High,2,scooter,1.0,No,Urban,18
6460e83dd043ebe8d64ceb63,31539,30.0,4.9,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,30
6460e83dd043ebe8d64cda90,27232,28.0,4.5,Fog,High,2,scooter,1.0,No,Metropolitian,21
6460e83dd043ebe8d64cb112,16610,30.0,4.9,Fog,Medium,2,scooter,0.0,No,Urban,16
6460e83dd043ebe8d64d036d,37693,37.0,4.1,Sandstorms,High,2,scooter,0.0,No,Metropolitian,32
6460e83dd043ebe8d64c98f4,10436,36.0,4.7,Windy,Low,2,scooter,1.0,No,Metropolitian,21
6460e83dd043ebe8d64cd44f,25631,20.0,4.9,Cloudy,Jam,0,motorcycle,2.0,No,Metropolitian,42
6460e83dd043ebe8d64ca173,12611,34.0,4.6,Cloudy,Medium,2,scooter,0.0,No,Urban,17
6460e83dd043ebe8d64d03d0,37792,26.0,4.7,Stormy,Low,2,scooter,1.0,No,,17
6460e83dd043ebe8d64d08b3,39043,38.0,3.5,Windy,Jam,2,electric_scooter,0.0,No,Urban,41
6460e83dd043ebe8d64caa04,14804,33.0,4.7,Fog,Low,2,scooter,1.0,No,Metropolitian,30
6460e83dd043ebe8d64cea14,31204,37.0,5.0,Windy,Low,0,motorcycle,1.0,No,Urban,28
6460e83dd043ebe8d64d1183,41299,31.0,4.6,Fog,Low,2,motorcycle,1.0,No,Metropolitian,16
6460e83dd043ebe8d64c83fa,5066,29.0,4.6,Fog,Jam,2,scooter,0.0,No,Metropolitian,26
6460e83dd043ebe8d64d073d,38669,20.0,4.1,Stormy,Medium,0,motorcycle,1.0,No,Urban,35
6460e83dd043ebe8d64cdc30,27648,36.0,5.0,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,17
6460e83dd043ebe8d64c8f91,8033,34.0,4.5,Cloudy,Medium,0,motorcycle,1.0,No,Metropolitian,26
6460e83dd043ebe8d64c825d,4653,28.0,4.6,Fog,High,0,motorcycle,0.0,No,Metropolitian,21
6460e83dd043ebe8d64ca434,13316,31.0,4.4,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,36
6460e83dd043ebe8d64cc504,21716,25.0,5.0,Stormy,High,2,motorcycle,1.0,No,Metropolitian,29
6460e83dd043ebe8d64cc208,20952,22.0,4.6,Sunny,Medium,1,motorcycle,0.0,No,Urban,13
6460e83dd043ebe8d64cb109,16601,23.0,4.8,Sunny,Low,0,motorcycle,0.0,No,Metropolitian,19
6460e83dd043ebe8d64c9960,10544,37.0,5.0,Sandstorms,High,2,scooter,1.0,No,Urban,28
6460e83dd043ebe8d64c98eb,10427,34.0,4.2,Windy,Low,0,motorcycle,1.0,No,Metropolitian,25
6460e83dd043ebe8d64c7085,85,36.0,4.8,Sunny,Medium,2,electric_scooter,0.0,No,Metropolitian,15
6460e83dd043ebe8d64c8da3,7539,36.0,5.0,Sandstorms,Jam,2,motorcycle,0.0,No,Metropolitian,32
6460e83dd043ebe8d64d1b8c,43868,22.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,20
6460e83dd043ebe8d64ce41e,29678,28.0,4.5,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,22
6460e83dd043ebe8d64ccc30,23552,28.0,4.6,Stormy,Medium,2,electric_scooter,1.0,No,Urban,25
6460e83dd043ebe8d64d1418,41960,50.0,6.0,,,3,scooter,1.0,No,Metropolitian,15
6460e83dd043ebe8d64ca40d,13277,28.0,4.6,Sandstorms,Medium,1,scooter,0.0,No,Metropolitian,19
6460e83dd043ebe8d64cf692,34402,38.0,4.8,Windy,Low,2,motorcycle,1.0,No,Urban,24
6460e83dd043ebe8d64ca873,14403,34.0,4.6,Fog,Jam,0,motorcycle,1.0,No,Urban,30
6460e83dd043ebe8d64d0fb2,40834,38.0,4.9,Windy,Low,0,motorcycle,1.0,No,Metropolitian,25
6460e83dd043ebe8d64c95d9,9641,21.0,4.0,Stormy,Jam,0,motorcycle,1.0,No,Metropolitian,32
6460e83dd043ebe8d64cb9df,18863,28.0,4.6,Stormy,Low,2,motorcycle,0.0,No,Metropolitian,11
6460e83dd043ebe8d64cfee2,36530,25.0,4.9,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,29
6460e83dd043ebe8d64c92ef,8895,39.0,4.6,Sunny,Low,2,motorcycle,1.0,No,Metropolitian,16
6460e83dd043ebe8d64cbaba,19082,36.0,3.5,Stormy,Jam,2,scooter,2.0,No,Urban,41
6460e83dd043ebe8d64cd515,25829,23.0,4.8,Sunny,Low,2,scooter,1.0,No,Urban,16
6460e83dd043ebe8d64c7c43,3091,,,,,3,scooter,1.0,No,Metropolitian,29
6460e83dd043ebe8d64cfbc6,35734,20.0,4.2,Windy,Jam,0,motorcycle,0.0,No,Metropolitian,35
6460e83dd043ebe8d64d0034,36868,,,,,3,electric_scooter,0.0,No,Metropolitian,29
6460e83dd043ebe8d64c7f95,3941,39.0,4.6,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,27
6460e83dd043ebe8d64cb5da,17834,31.0,4.6,Fog,Medium,0,motorcycle,1.0,No,Metropolitian,46
6460e83dd043ebe8d64c7273,579,36.0,5.0,Fog,Low,2,scooter,1.0,No,Urban,16
6460e83dd043ebe8d64cfbff,35791,38.0,4.6,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,22
6460e83dd043ebe8d64cc4b2,21634,29.0,5.0,Windy,High,0,motorcycle,1.0,No,Metropolitian,22
6460e83dd043ebe8d64c80a6,4214,34.0,4.9,Sunny,Jam,2,electric_scooter,,No,Metropolitian,15
6460e83dd043ebe8d64cf3cd,33693,32.0,4.8,Fog,Low,1,scooter,0.0,No,Metropolitian,15
6460e83dd043ebe8d64cf030,32768,33.0,4.8,Cloudy,Low,1,scooter,1.0,No,Urban,19
6460e83dd043ebe8d64d1cc1,44177,28.0,4.7,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,17
6460e83dd043ebe8d64cf6ae,34430,33.0,4.9,Cloudy,Low,1,scooter,1.0,No,Metropolitian,27
6460e83dd043ebe8d64c7693,1635,29.0,5.0,Cloudy,Low,2,scooter,1.0,No,Urban,24
6460e83dd043ebe8d64d0d94,40292,20.0,4.6,Fog,Medium,0,motorcycle,0.0,No,Metropolitian,29
6460e83dd043ebe8d64d048d,37981,29.0,4.8,Sunny,Low,1,scooter,,No,Metropolitian,23
6460e83dd043ebe8d64d16cb,42651,22.0,4.8,Stormy,Medium,1,scooter,1.0,No,Urban,15
6460e83dd043ebe8d64cef0d,32477,32.0,4.2,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,32
6460e83dd043ebe8d64cc56e,21822,39.0,4.0,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,33
6460e83dd043ebe8d64d20ed,45245,20.0,4.6,Windy,Jam,0,motorcycle,0.0,No,Metropolitian,38
6460e83dd043ebe8d64c99df,10671,27.0,4.6,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,15
6460e83dd043ebe8d64ce075,28741,35.0,4.9,Sandstorms,Low,2,electric_scooter,1.0,No,Metropolitian,22
6460e83dd043ebe8d64cc1a2,20850,33.0,5.0,Stormy,Medium,1,scooter,1.0,No,Metropolitian,27
6460e83dd043ebe8d64cf4ab,33915,30.0,4.7,Fog,Low,2,motorcycle,0.0,No,Urban,16
6460e83dd043ebe8d64d1f45,44821,21.0,4.6,Sunny,High,1,motorcycle,0.0,No,Metropolitian,19
6460e83dd043ebe8d64d222c,45564,26.0,4.5,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,17
6460e83dd043ebe8d64c70e6,182,26.0,4.1,Fog,Jam,2,motorcycle,1.0,No,Metropolitian,36
6460e83dd043ebe8d64cdf06,28374,,,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,25
6460e83dd043ebe8d64d2039,45065,25.0,4.8,Cloudy,Medium,2,motorcycle,1.0,No,Metropolitian,16
6460e83dd043ebe8d64cfe0f,36319,38.0,4.2,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,39
6460e83dd043ebe8d64c77bb,1931,38.0,4.7,Windy,Jam,1,motorcycle,1.0,No,Metropolitian,33
6460e83dd043ebe8d64c7cf0,3264,21.0,4.6,Sandstorms,Low,1,scooter,1.0,No,Metropolitian,17
6460e83dd043ebe8d64cc7a0,22384,,,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,24
6460e83dd043ebe8d64d1605,42453,22.0,4.7,Sunny,Medium,1,motorcycle,1.0,No,Urban,14
6460e83dd043ebe8d64c7f7f,3919,30.0,4.6,Cloudy,Jam,2,electric_scooter,2.0,No,Metropolitian,38
6460e83dd043ebe8d64cd614,26084,37.0,5.0,Stormy,Low,2,scooter,0.0,No,Metropolitian,29
6460e83dd043ebe8d64ca35d,13101,24.0,4.6,Fog,Medium,2,scooter,0.0,No,Metropolitian,17
6460e83dd043ebe8d64ccbfa,23498,27.0,4.9,Sunny,Jam,1,motorcycle,0.0,No,Urban,19
6460e83dd043ebe8d64d0600,38352,38.0,4.8,Sunny,Medium,1,scooter,1.0,No,Metropolitian,23
6460e83dd043ebe8d64c71f4,452,34.0,4.4,Stormy,Jam,2,scooter,1.0,No,Urban,31
6460e83dd043ebe8d64d1cd5,44197,38.0,4.8,Stormy,Medium,1,motorcycle,1.0,No,Metropolitian,28
6460e83dd043ebe8d64cc3e6,21430,38.0,3.9,Sandstorms,Jam,1,motorcycle,2.0,No,Metropolitian,34
6460e83dd043ebe8d64d1b67,43831,22.0,4.8,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,27
6460e83dd043ebe8d64c959b,9579,23.0,4.9,Sandstorms,Jam,1,scooter,0.0,No,Metropolitian,23
6460e83dd043ebe8d64d0862,38962,24.0,4.8,Sunny,Low,0,motorcycle,0.0,No,Urban,16
6460e83dd043ebe8d64cd0d6,24742,35.0,4.8,Fog,Low,1,motorcycle,1.0,No,Metropolitian,16
6460e83dd043ebe8d64c74fd,1229,21.0,4.8,Sandstorms,Low,2,motorcycle,0.0,No,Urban,13
6460e83dd043ebe8d64d09fa,39370,26.0,4.1,Fog,Jam,2,scooter,1.0,No,Metropolitian,36
6460e83dd043ebe8d64d08c3,39059,38.0,4.8,Fog,Low,2,electric_scooter,1.0,No,,19
6460e83dd043ebe8d64c91fb,8651,32.0,4.9,Windy,Jam,2,motorcycle,1.0,No,Metropolitian,28
6460e83dd043ebe8d64c8e24,7668,28.0,4.7,Fog,Medium,1,motorcycle,0.0,No,Urban,19
6460e83dd043ebe8d64cdf32,28418,30.0,4.6,Sandstorms,Low,2,motorcycle,1.0,No,Urban,23
6460e83dd043ebe8d64cd14f,24863,39.0,4.6,Cloudy,Jam,2,motorcycle,1.0,Yes,Semi-Urban,47
6460e83dd043ebe8d64c8ee7,7863,21.0,4.9,Fog,High,0,motorcycle,,No,Metropolitian,20
6460e83dd043ebe8d64c965e,9774,25.0,4.8,Windy,High,1,motorcycle,1.0,No,Metropolitian,28
6460e83dd043ebe8d64cc743,22291,,,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,16
6460e83dd043ebe8d64cc509,21721,22.0,4.7,Sandstorms,Medium,2,scooter,1.0,No,Metropolitian,21
6460e83dd043ebe8d64cd2e5,25269,25.0,4.4,Fog,Jam,1,motorcycle,1.0,Yes,Metropolitian,44
6460e83dd043ebe8d64c93ee,9150,25.0,4.6,Fog,Medium,2,electric_scooter,0.0,No,Metropolitian,10
6460e83dd043ebe8d64c8bd8,7080,37.0,4.4,Sandstorms,Medium,2,motorcycle,1.0,No,Metropolitian,39
6460e83dd043ebe8d64ccee6,24246,33.0,4.9,Sunny,High,0,motorcycle,0.0,No,Metropolitian,26
6460e83dd043ebe8d64c9fb2,12162,33.0,4.2,Cloudy,Medium,1,scooter,2.0,No,Urban,42
6460e83dd043ebe8d64ccaea,23226,33.0,4.7,Sunny,Low,1,scooter,0.0,No,Urban,12
6460e83dd043ebe8d64cf690,34400,32.0,4.6,Cloudy,Jam,1,scooter,1.0,No,Metropolitian,38
6460e83dd043ebe8d64cc4d2,21666,27.0,4.0,Stormy,Low,0,motorcycle,0.0,No,Metropolitian,18
6460e83dd043ebe8d64cff67,36663,38.0,4.8,Fog,Jam,1,scooter,1.0,No,Metropolitian,30
6460e83dd043ebe8d64cd2b1,25217,30.0,4.6,Sunny,Low,2,scooter,1.0,No,Metropolitian,25
6460e83dd043ebe8d64d214e,45342,28.0,4.1,Cloudy,Jam,1,motorcycle,1.0,No,Metropolitian,32
6460e83dd043ebe8d64cc975,22853,30.0,4.9,Sunny,Medium,2,scooter,1.0,No,Metropolitian,22
6460e83dd043ebe8d64d1e93,44643,23.0,4.6,Fog,Low,1,motorcycle,1.0,No,Metropolitian,14
6460e83dd043ebe8d64cc2fa,21194,31.0,4.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,23
6460e83dd043ebe8d64d0b56,39718,20.0,4.8,Fog,Jam,1,scooter,1.0,No,Metropolitian,32
6460e83dd043ebe8d64d1107,41175,32.0,4.2,Fog,Jam,1,motorcycle,0.0,No,Metropolitian,39
6460e83dd043ebe8d64c826d,4669,21.0,4.8,Windy,Jam,1,motorcycle,0.0,No,Metropolitian,16
6460e83dd043ebe8d64cf7dd,34733,34.0,4.8,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,27
6460e83dd043ebe8d64c7171,321,20.0,4.5,Sandstorms,Jam,1,scooter,1.0,No,Urban,25
6460e83dd043ebe8d64cdfef,28607,,,,,0,motorcycle,1.0,No,Metropolitian,25
6460e83dd043ebe8d64cb63f,17935,31.0,4.9,Sandstorms,Jam,0,motorcycle,1.0,No,Semi-Urban,46
6460e83dd043ebe8d64ca7cd,14237,20.0,4.8,Sandstorms,Low,1,motorcycle,0.0,No,,14
6460e83dd043ebe8d64ce169,28985,29.0,4.6,Sunny,Low,0,motorcycle,1.0,No,Urban,28
6460e83dd043ebe8d64c8b92,7010,23.0,3.8,Sunny,Jam,0,motorcycle,2.0,Yes,Metropolitian,41
6460e83dd043ebe8d64d214f,45343,39.0,4.5,Sunny,Low,1,scooter,1.0,No,Urban,24
6460e83dd043ebe8d64c9b58,11048,27.0,4.6,Stormy,Low,2,electric_scooter,1.0,No,Metropolitian,17
6460e83dd043ebe8d64cbada,19114,33.0,4.5,Sandstorms,Jam,1,scooter,1.0,No,Metropolitian,29
6460e83dd043ebe8d64cfb57,35623,24.0,4.8,Stormy,Low,2,motorcycle,1.0,No,Metropolitian,11
6460e83dd043ebe8d64c7d67,3383,21.0,4.3,Sandstorms,Jam,0,motorcycle,1.0,No,Urban,38
6460e83dd043ebe8d64c9aff,10959,35.0,4.3,Sandstorms,High,0,motorcycle,1.0,No,Metropolitian,43
6460e83dd043ebe8d64d1456,42022,32.0,4.6,Stormy,Medium,0,motorcycle,1.0,No,Metropolitian,30
6460e83dd043ebe8d64cade8,15800,26.0,4.2,Cloudy,Medium,2,electric_scooter,1.0,No,Metropolitian,35
6460e83dd043ebe8d64cf793,34659,23.0,4.9,Sandstorms,Jam,1,motorcycle,0.0,No,Metropolitian,25
6460e83dd043ebe8d64cb3d1,17313,38.0,4.7,Sunny,Medium,1,motorcycle,1.0,No,Urban,20
6460e83dd043ebe8d64cd520,25840,39.0,4.8,Windy,Low,1,scooter,1.0,No,Metropolitian,20
6460e83dd043ebe8d64cce1e,24046,28.0,4.6,Fog,Low,1,motorcycle,0.0,No,Metropolitian,25
6460e83dd043ebe8d64cd5fb,26059,37.0,4.6,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,19
6460e83dd043ebe8d64cf0cd,32925,26.0,4.9,Cloudy,High,2,electric_scooter,1.0,No,Metropolitian,31
6460e83dd043ebe8d64c91d2,8610,26.0,4.7,Cloudy,High,1,scooter,1.0,No,Metropolitian,33
6460e83dd043ebe8d64ced64,32052,28.0,4.7,Stormy,Jam,2,scooter,1.0,No,Metropolitian,18
6460e83dd043ebe8d64c9450,9248,23.0,4.8,Windy,Low,0,motorcycle,1.0,No,Metropolitian,18
6460e83dd043ebe8d64cd842,26642,29.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,,27
6460e83dd043ebe8d64c788c,2140,38.0,4.7,Windy,Medium,1,motorcycle,1.0,No,Metropolitian,28
6460e83dd043ebe8d64cf716,34534,21.0,4.7,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,16
6460e83dd043ebe8d64c8ba3,7027,20.0,4.8,Stormy,Jam,1,scooter,0.0,No,Metropolitian,25
6460e83dd043ebe8d64cfeeb,36539,25.0,4.9,Fog,Low,0,motorcycle,1.0,No,Metropolitian,20
6460e83dd043ebe8d64cc42d,21501,28.0,4.9,Sunny,Low,2,scooter,0.0,No,Urban,19
6460e83dd043ebe8d64cc988,22872,22.0,4.7,Windy,Medium,1,scooter,1.0,No,Urban,28
6460e83dd043ebe8d64cfcef,36031,32.0,4.6,Cloudy,Low,1,motorcycle,1.0,No,Metropolitian,16
6460e83dd043ebe8d64c8c67,7223,31.0,5.0,Sunny,Jam,0,motorcycle,0.0,No,Metropolitian,36
6460e83dd043ebe8d64d1a05,43477,30.0,4.8,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,23
6460e83dd043ebe8d64ccc50,23584,26.0,4.6,Fog,Medium,1,scooter,1.0,No,Metropolitian,25
6460e83dd043ebe8d64cf7b0,34688,32.0,4.2,Cloudy,Jam,1,scooter,0.0,No,Metropolitian,40
6460e83dd043ebe8d64cb059,16425,22.0,5.0,Windy,Low,1,motorcycle,1.0,No,Metropolitian,19
6460e83dd043ebe8d64cb88b,18523,23.0,4.5,Sunny,Medium,1,scooter,0.0,No,Urban,11
6460e83dd043ebe8d64d100a,40922,30.0,5.0,Stormy,Low,2,scooter,1.0,No,Metropolitian,20
6460e83dd043ebe8d64cb6ea,18106,27.0,5.0,Fog,Low,1,scooter,1.0,No,Metropolitian,13
6460e83dd043ebe8d64c762a,1530,27.0,4.8,Fog,Jam,0,motorcycle,1.0,No,Metropolitian,41
6460e83dd043ebe8d64d1e0a,44506,38.0,4.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,41
6460e83dd043ebe8d64d19aa,43386,37.0,4.6,Sunny,Jam,1,scooter,1.0,No,Metropolitian,22
6460e83dd043ebe8d64c7ba1,2929,30.0,4.9,Fog,Low,2,scooter,0.0,No,Metropolitian,30
6460e83dd043ebe8d64c86d7,5799,22.0,5.0,Sandstorms,Low,1,motorcycle,0.0,No,Metropolitian,17
6460e83dd043ebe8d64cfe0a,36314,34.0,5.0,Sandstorms,Jam,0,motorcycle,2.0,No,Metropolitian,39
6460e83dd043ebe8d64d18c0,43152,33.0,4.7,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,25
6460e83dd043ebe8d64ccf3c,24332,25.0,4.7,Fog,Low,2,scooter,1.0,No,Metropolitian,14
6460e83dd043ebe8d64d0547,38167,36.0,4.8,Fog,Medium,1,motorcycle,1.0,No,Urban,35
6460e83dd043ebe8d64c8a92,6754,35.0,4.3,Cloudy,Jam,0,motorcycle,1.0,No,Metropolitian,33
6460e83dd043ebe8d64cf5da,34218,29.0,5.0,Fog,Medium,2,scooter,0.0,No,Urban,12
6460e83dd043ebe8d64cef7e,32590,24.0,4.5,Stormy,Low,2,motorcycle,0.0,No,Metropolitian,13
6460e83dd043ebe8d64d0abe,39566,21.0,5.0,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,35
6460e83dd043ebe8d64ca296,12902,20.0,5.0,Cloudy,Jam,0,motorcycle,0.0,No,Metropolitian,42
6460e83dd043ebe8d64c8cb9,7305,21.0,4.5,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,23
6460e83dd043ebe8d64ca78e,14174,22.0,4.5,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,29
6460e83dd043ebe8d64cdd23,27891,21.0,4.9,Sandstorms,Low,1,scooter,1.0,No,,19
6460e83dd043ebe8d64ca997,14695,21.0,4.7,Stormy,Low,2,scooter,1.0,No,Metropolitian,13
6460e83dd043ebe8d64cb508,17624,21.0,4.2,Fog,Medium,1,motorcycle,1.0,No,Metropolitian,31
