Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min)
36.0,4.2,Fog,Jam,2,motorcycle,3.0,No,Metropolitian,46
21.0,4.7,Stormy,High,1,motorcycle,1.0,No,Metropolitian,23
23.0,4.7,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,21
34.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,20
24.0,4.7,Fog,Jam,1,scooter,1.0,No,Metropolitian,41
29.0,4.5,Sandstorms,Jam,2,electric_scooter,1.0,No,Metropolitian,20
35.0,4.0,Windy,High,1,scooter,1.0,No,Metropolitian,33
33.0,4.2,Sandstorms,Jam,2,motorcycle,1.0,No,Metropolitian,40
34.0,4.9,Cloudy,Jam,0,motorcycle,,No,Metropolitian,41
21.0,4.7,Windy,Jam,0,motorcycle,1.0,No,Urban,15
25.0,4.1,Sandstorms,Jam,0,motorcycle,2.0,No,Metropolitian,36
31.0,4.7,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,26
37.0,5.0,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,20
33.0,4.3,Windy,Jam,2,scooter,1.0,No,Metropolitian,39
25.0,4.0,Cloudy,High,1,motorcycle,1.0,No,Metropolitian,34
29.0,4.5,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,15
27.0,5.0,Stormy,Jam,0,motorcycle,0.0,No,Urban,18
35.0,4.3,Cloudy,Low,1,scooter,0.0,No,Metropolitian,38
32.0,4.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,47
23.0,4.8,Windy,Low,2,electric_scooter,0.0,No,Urban,12
31.0,4.8,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,26
36.0,4.1,Stormy,Low,0,motorcycle,1.0,No,Urban,22
26.0,4.3,Sandstorms,Low,0,motorcycle,0.0,No,Urban,21
38.0,4.9,Cloudy,High,1,scooter,1.0,No,Urban,25
32.0,3.5,Stormy,Jam,1,scooter,0.0,No,Urban,35
32.0,4.6,Cloudy,Low,2,scooter,1.0,No,Metropolitian,30
33.0,4.9,Sunny,Medium,1,motorcycle,1.0,No,Metropolitian,22
20.0,4.7,Windy,High,1,scooter,0.0,No,Urban,10
20.0,4.8,Sandstorms,Low,2,scooter,1.0,No,Metropolitian,19
35.0,5.0,Sunny,Low,2,scooter,1.0,No,Urban,11
26.0,4.9,Stormy,Low,2,scooter,0.0,No,Metropolitian,11
22.0,4.8,Fog,Low,1,motorcycle,1.0,No,Metropolitian,28
35.0,4.3,Cloudy,Medium,1,motorcycle,1.0,No,Metropolitian,33
,,Cloudy,Medium,1,scooter,1.0,No,Metropolitian,33
37.0,4.7,Sandstorms,Jam,0,motorcycle,3.0,No,Metropolitian,52
